ID | TableName | TableId
---|---|---
1 | Teenpatti 1-day | null
2 | Poker 1-Day | null
3 | 3 Cards Judgement | null
4 | Amar Akbar Anthony | null
5 | Andar Bahar | null
6 | Andar Bahar 2 | null
7 | Baccarat | null
8 | Baccarat 2 | null
9 | Bollywood Casino | null
10 | 32 Cards A | null
11 | 32 Cards B | null
12 | Cricket Match 20-20 | null
13 | Casino Meter | null
14 | Cricket V | null
15 | Cricket V2 | null
16 | 5Five Cricket | null
17 | 20-20 Dragon Tiger | null
18 | 20-20 Dragon Tiger 2 | null
19 | 1 Day Dragon Tiger | null
20 | 20-20 D T L | null
21 | lottcard | null
22 | Lucky 7 - A | null
23 | Lucky 7 - B | null
24 | 20-20 Poker | null
25 | Poker 6 Players | null
26 | 20-20 Teenpatti | null
27 | Teenpatti Open | null
28 | Teenpatti Test | null
29 | Casino War | null
30 | Worli Matka | null
31 | Instant Worli | null
32 | Diam11 | null
33 | Player Battle | null
34 | Runner | null
35 | Cockfight | null
36 | Ezugi | null
37 | Super Spade | null
38 | QTech | null
39 | Evolution | null
40 | Teenpatti - 2.0 | null
41 | Queen | null
42 | Race20 | null
43 | Pop The Ball | null
44 | Lucky 7 - C | null
45 | Super Over | null
46 | The Trap | null
47 | Binary | null
48 | Ludo Club | null
49 | 2 Cards Teenpatti | null
50 | 29Card Baccarat | null
51 | Muflis Teenpatti | null
52 | Rummy | null
53 | Slot | null
54 | Slot 2 | null
55 | Race to 17 | null
56 | 20-20 Teenpatti B | null
57 | VivoGames-LuckyStreak | null
58 | Trio | null
59 | Note Number | null
60 | Teen 20 24 | null
61 | K.B.C | null
62 | Ludo Lands | null
63 | 1 CARD 20-20 | null
64 | 1 CARD ONE-DAY | null
65 | V-20-20 Teenpatti | null
66 | V-Teenpatti 1-day | null
67 | V-1 Day Dragon Tiger | null
68 | V-20-20 Dragon Tiger | null
69 | V-Lucky 7 - A | null
70 | V-Race to 17 | null
71 | V-Muflis Teenpatti | null
72 | V-Amar Akbar Anthony | null
73 | V-Bollywood Casino | null
74 | V-Baccarat | null
75 | V-Trio | null
76 | V-The Trap | null
77 | ANDAR BAHAR 50 CARDS | null
78 | V-20-20 D T L | null
79 | Amar Akbar Anthony 2 | null
80 | Vivo Gaming | null
81 | snakes and ladders | null
82 | roulette | null
83 | Race to 2nd | null
84 | Astar Game | null
85 | Smart Soft | null
86 | Instant Teenpatti | null
87 | Creedroomz | null
88 | Dus ka Dum | null
89 | 1 Card Meter | null
90 | Bota | null
91 | Tembo | null
92 | Aviator | null
93 | Pascal Game | null
94 | Dragon Soft | null
95 | Double | null
96 | Lottery | null
97 | sportbook | null
98 | instant teenpatti 2.0 | null
99 | Pragamatic slot | null
100 | Pragamatic live | null
101 | Sic Bo | null
102 | Ball By Ball | null
103 | roulette1 | null
104 | Instant Teenpatti 3.0 | null
105 | Scratch | null
106 | roulette2 | null
107 | Super Over2 | null
108 | Sic Bo 2 | null
109 | roulette3 | null
110 | Darwin | null
111 | Queen top open teenpatti | null
112 | Jack top open teenpatti | null
113 | Lucky 15 | null
114 | Goal | null
115 | ANDAR BAHAR 150 CARDS | null
116 | Pocket Game | null
117 | mini super over | null
118 | Unique Roulette | null
119 | 20-20 Teenpatti C | null
120 | Bollywood Casino 2 | null
121 | Teenpatti Joker | null
122 | gemini1 | null
123 | Jilli | null
124 | gemini live | null
125 | Win Infinity | null
126 | bet core | null
127 | Unlimited Joker One Day | null
128 | Teenpatti Joker 20-20 | null
129 | Unlimited Joker 20-20 | null
130 | Teenpatti Poison 20-20 | null
131 | Amigo | null
132 | Golden Roulette | null
133 | Unique Teenpatti | null
134 | Teenpatti Poison One Day | null
135 | Beach Roulette | null
136 | Regular Roulette | null
137 | EGT | null
138 | Premium Teenpatti 1-day | null
139 | Premium 20-20 Teenpatti | null
140 | Premium 1 Day Dragon Tiger | null
141 | Premium 20-20 Dragon Tiger | null
142 | Premium Lucky 7 | null
143 | Premium 32 Cards | null
144 | Premium Baccarat | null
145 | Tembo Teenpatti 1-day | null
146 | Tembo 20-20 Teenpatti | null
147 | Tembo 1 Day Dragon Tiger | null
148 | Tembo 20-20 Dragon Tiger | null
149 | Tembo Lucky 7 | null
150 | Tembo 32 Cards | null
151 | Tembo Baccarat | null
152 | Lucky 6 | null
153 | Mogambo | null
154 | Dolidana | null
155 | EXA | null
156 | Studio21 | null
157 | 20-20 Teenpatti VIP | null
158 | Matka | null
159 | GVI | null
160 | V VIP Teenpatti 1-day | null
